time	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec	djf	mam	jja	son	winter	summer	year
1864	-7.12	-4.57	0.03	2.12	7.46	9.51	12.41	10.97	8.59	3.51	-0.56	-4.52	NA	3.2	10.96	3.85	NA	8.51	3.15
1865	-3.49	-6.31	-5.92	7.04	10.12	11.01	14.02	11.18	11.9	5.2	1.21	-3.13	-4.77	3.75	12.07	6.1	-2.88	10.88	4.4
1866	-1.33	-0.47	-1.01	4.12	4.98	12.05	12.29	10	9.69	5.35	-0.25	-0.54	-1.64	2.7	11.45	4.93	0.08	8.86	4.57
1867	-3.89	0.5	-0.14	3.5	7.77	10.6	11.33	12.95	10.43	2.93	-1.48	-5.85	-1.31	3.71	11.63	3.96	0.17	9.43	4.05
1868	-5.49	-1.58	-2.3	2.34	12.06	12	12.93	12.52	11.12	4.77	-2.03	1.21	-4.31	4.03	12.48	4.62	-2.3	10.49	4.8
1869	-4.64	1.23	-4.26	4.54	8.95	8.29	14.86	10.88	10.34	2.31	0.04	-4.23	-0.73	3.08	11.34	4.23	-0.62	9.64	4.03
1870	-5.49	-4.28	-2.6	2.82	8.92	11.44	14.44	9.86	8.16	4.07	-0.19	-6.86	-4.67	3.05	11.91	4.01	-2.37	9.27	3.36
1871	-7.84	-2.02	0.01	3.54	6.69	7.3	13.18	12.62	11.33	3.32	-2.9	-8.35	-5.57	3.41	11.03	3.92	-2.14	9.11	3.07
1872	-3.24	-2.14	0.46	3.96	6.1	10.11	13.49	10.89	10.17	5.34	1.73	-0.82	-4.58	3.51	11.5	5.75	-2.14	9.12	4.67
1873	-2.21	-3.9	1.66	1.63	5.13	10.57	14.56	13.57	8.67	5.46	0.6	-2.93	-2.31	2.81	12.9	4.91	0.3	9.02	4.4
1874	-3.17	-4.12	-1.3	4.6	3.99	11.32	15.05	10.93	10.99	5.72	-2.17	-6.39	-3.41	2.43	12.43	4.85	-0.91	9.48	3.79
